EDC100_101	Energy	Weighted					Summe		
-383,91406	-0,689	264,5167873				1,181	806,3087551		
229,92969	-0,684	-157,271908				1,186	812,4210969		
260,04297	-0,679	-176,5691766				1,191	819,6110374		
-166,04688	-0,674	111,9155971				1,196	825,2792542		
240,49609	-0,669	-160,8918842				1,201	829,5109889		
-273,24219	-0,664	181,4328142				1,206	836,2462654		
247,05078	-0,659	-162,806464				1,211	843,4724399		
380,45703	-0,654	-248,8188976				1,216	849,4415883		
664,90625	-0,649	-431,5241563				1,221	855,2071912		
296,5	-0,644	-190,946				1,226	860,4128846		
302,78906	-0,639	-193,4822093				1,231	864,0524964		
346,57812	-0,634	-219,7305281				1,236	866,9020973		
605,6875	-0,629	-380,9774375				1,241	869,1517728		
78,511719	-0,624	-48,99131266				1,246	870,081383		
159,09766	-0,619	-98,48145154				1,251	870,5586385		
-107,84766	-0,614	66,21846324				1,256	871,6370738		
-515,98828	-0,609	314,2368625				1,261	872,6983147		
-246,55078	-0,604	148,9166711				1,266	874,3442091		
-202,88281	-0,599	121,5268032				1,271	879,0413355		
121,45312	-0,594	-72,14315328				1,276	883,4422055		
-419,37109	-0,589	247,009572				1,281	885,0928404		
-86,925781	-0,584	50,7646561				1,286	891,1531124		
69,980469	-0,579	-40,51869155				1,291	900,129289		
-291,65625	-0,574	167,4106875				1,296	902,4138383		
222,81641	-0,569	-126,7825373				1,301	901,454169		
105,05469	-0,564	-59,25084516				1,306	901,0309478		
-694,70703	-0,559	388,3412298				1,311	904,7313038		
-335,19531	-0,554	185,6982017				1,316	911,5263691		
680,23828	-0,549	-373,4508157				1,321	915,0552483		
14,019531	-0,544	-7,626624864				1,326	918,031858		
-178,60156	-0,539	96,26624084				1,331	923,6953952		
-1069,0352	-0,534	570,8647968				1,336	930,618441		
136,15625	-0,529	-72,02665625				1,341	937,7637673		
-248,02734	-0,524	129,9663262				1,346	942,8466728		
163,8125	-0,519	-85,0186875				1,351	947,5582539		
-471,66406	-0,514	242,4353268				1,356	954,9102305		
-16,828125	-0,509	8,565515625				1,361	960,8518408		
-540,88281	-0,504	272,6049362				1,366	963,8392164		
-182,24609	-0,499	90,94079891				1,371	969,7001919		
-120,08984	-0,494	59,32438096				1,376	977,7807591		
-245,52344	-0,489	120,0609622				1,381	982,6243678		
-466,90234	-0,484	225,9807326				1,386	985,3159524		
11,503906	-0,479	-5,510370974				1,391	987,5193292		
-27,503906	-0,474	13,03685144				1,396	990,2236564		
107,39062	-0,469	-50,36620078				1,401	993,9814886		
191,53516	-0,464	-88,87231424				1,406	999,4971634		
522,18359	-0,459	-239,6822678				1,411	1005,274689		
266,46875	-0,454	-120,9768125				1,416	1006,728629		
-13,316406	-0,449	5,979066294				1,421	1006,46126		
465,4375	-0,444	-206,65425				1,426	1008,049509		
-217,29297	-0,439	95,39161383				1,431	1010,834387		
-360,25	-0,434	156,3485				1,436	1014,394383		
-916,67188	-0,429	393,2522365				1,441	1018,114357		
-1133,4531	-0,424	480,5841144				1,446	1022,251962		
-499,46094	-0,419	209,2741339				1,451	1028,496906		
-66,769531	-0,414	27,64258583				1,456	1034,812889		
-282	-0,409	115,338				1,461	1036,702808		
220,25391	-0,404	-88,98257964				1,466	1037,474484		
252,10156	-0,399	-100,5885224				1,471	1040,456014		
-232,26172	-0,394	91,51111768				1,476	1043,275962		
1182,6328	-0,389	-460,0441592				1,481	1045,136742		
222,64648	-0,384	-85,49624832				1,486	1049,974055		
760,48633	-0,379	-288,2243191				1,491	1057,44363		
358,52148	-0,374	-134,0870335				1,496	1060,70082		
-441,46875	-0,369	162,9019688				1,501	1060,279654		
-93,738281	-0,364	34,12073428				1,506	1060,150568		
-432,39453	-0,359	155,2296363				1,511	1061,248997		
511,24023	-0,354	-180,9790414				1,516	1064,688979		
-3,5761719	-0,349	1,248083993				1,521	1068,199608		
193,625	-0,344	-66,607				1,526	1069,784075		
-372,97852	-0,339	126,4397183				1,531	1069,972149		
140,91211	-0,334	-47,06464474				1,536	1069,170643		
-615,2832	-0,329	202,4281728				1,541	1069,275009		
-985,50195	-0,324	319,3026318				1,546	1070,755451		
-459,76953	-0,319	146,6664801				1,551	1072,471062		
230,51953	-0,314	-72,38313242				1,556	1074,155603		
635,52539	-0,309	-196,3773455				1,561	1075,658171		
304,12695	-0,304	-92,4545928				1,566	1077,762833		
