s_300	s_0	energy_e10e20
5,746840542997234e-10	5,746840542997234e-10	179,5310731985439
5,674367275787517e-10	5,674367275787517e-10	177,1765927977839
5,615077316178941e-10	5,615077316178941e-10	174,8681276432142
1,935705728828907e-07	5,570401845034212e-10	172,6044864226683
5,541727296076716e-10	5,541727296076716e-10	170,3845161290323
5,530042835744099e-10	5,530042835744099e-10	168,207100591716
5,535484160645865e-10	5,535484160645865e-10	166,0711590733904
5,556841642828659e-10	5,556841642828659e-10	163,9756449286973
5,591204171651043e-10	5,591204171651043e-10	161,9195443218227
5,633805267279968e-10	5,633805267279968e-10	159,901875
5,67824645258952e-10	5,67824645258952e-10	157,9216851201728
5,717062595067547e-10	5,717062595067547e-10	155,9780521262003
5,742564098909498e-10	5,742564098909498e-10	154,0700816741315
5,747899194830097e-10	5,747899194830097e-10	152,1969066032124
5,728028554585762e-10	5,728028554585762e-10	150,3576859504132
5,680406320607291e-10	5,680406320607291e-10	148,551604006387
5,605385376838968e-10	5,605385376838968e-10	146,7778694108788
5,50606637261808e-10	5,50606637261808e-10	145,0357142857143
5,387734563555569e-10	5,387734563555569e-10	143,3243934035923
5,257019438431598e-10	5,257019438431598e-10	141,6431833910035
5,121012145536952e-10	1,929314434528351e-07	139,9913819636811
4,986273415852338e-10	4,986273415852338e-10	138,3683071930774
4,858233660343103e-10	4,858233660343103e-10	136,7732968024324
4,74071093776729e-10	4,74071093776729e-10	135,2057074910821
4,635789446183481e-10	4,635789446183481e-10	133,6649142857143
4,543895192909986e-10	4,543895192909986e-10	132,1503099173554
4,464092489797622e-10	4,464092489797622e-10	130,6613042229245
4,394466304802336e-10	4,394466304802336e-10	129,1973235702563
4,332595563028008e-10	4,332595563028008e-10	127,757810305546
-3,085545031353832e-08	-3,085545031353832e-08	126,3422222222222
4,222759162075818e-10	4,222759162075818e-10	124,9500320503037
4,171562977717258e-10	4,171562977717258e-10	123,5807269653424
4,122330574318767e-10	4,122330574318767e-10	122,2338081160978
4,076178811374121e-10	4,076178811374121e-10	120,9087901701323
4,035376696265303e-10	4,035376696265303e-10	119,6052008765522
4,003079084213823e-10	4,003079084213823e-10	118,3225806451613
3,982791895396077e-10	3,982791895396077e-10	117,0604821413252
3,977660526288674e-10	3,977660526288674e-10	115,8184698958805
3,989644756074995e-10	3,989644756074995e-10	114,5961199294533
4,018762774649077e-10	4,018762774649077e-10	113,3930193905817
4,062520747538656e-10	4,062520747538656e-10	112,2087662070667
4,115772753721104e-10	4,115772753721104e-10	111,04296875
-2,766296966001392e-08	-2,766296966001392e-08	109,8952455099466
-3,874291433021426e-08	-3,874291433021426e-08	108,7652247847805
-2,853685524314642e-08	-2,853685524314642e-08	107,6525443786982
4,262303991708905e-10	4,262303991708905e-10	106,5568513119534
4,244144656695426e-10	4,244144656695426e-10	105,4778015408797
4,197053931420669e-10	4,197053931420669e-10	104,415059687787
4,124002225580625e-10	4,124002225580625e-10	103,3682987803338
4,031556818517857e-10	3,082611225545406e-07	102,3372
3,928962178179063e-10	3,928962178179063e-10	101,3214524392961
3,826764805126004e-10	3,826764805126004e-10	100,320752867366
3,735415521077812e-10	3,735415521077812e-10	99,33480550365212
3,664031464722939e-10	3,664031464722939e-10	98,36332179930797
3,619481503847055e-10	3,619481503847055e-10	97,40602022605593
3,605816164053977e-10	3,605816164053977e-10	96,46262607220285
3,623993688961491e-10	3,623993688961491e-10	95,53287124553667
3,671828017104417e-10	3,671828017104417e-10	94,61649408284025
3,744046989595518e-10	3,744046989595518e-10	93,71323916577002
3,832516085822135e-10	3,832516085822135e-10	92,82285714285716
3,926686622435227e-10	3,926686622435227e-10	91,94510455739989
4,014396836282686e-10	4,014396836282686e-10	91,07974368102529
4,083078601979651e-10	4,083078601979651e-10	90,22654235270781
-1,430062856525183e-07	-1,430062856525183e-07	89,38527382304133
4,120048834010959e-10	4,120048834010959e-10	88,55571660356951
4,074831304023974e-10	4,074831304023974e-10	87,73765432098766
3,985771763836965e-10	3,985771763836965e-10	86,93087557603688
3,857992123812438e-10	3,857992123812438e-10	86,13517380691862
3,700706292875111e-10	3,700706292875111e-10	85,35034715706513
3,525723150232807e-10	3,525723150232807e-10	84,57619834710745
3,345607547089458e-10	3,345607547089458e-10	83,81253455088964
3,172003198415041e-10	3,172003198415041e-10	83,0591672753835
3,014304638782051e-10	3,014304638782051e-10	82,31591224436447
-1,039013639092445e-07	-1,039013639092445e-07	81,58258928571429
-1,053138636052609e-07	-1,053138636052609e-07	80,85902222222224
2,689467692107428e-10	2,689467692107428e-10	80,14503876576083
2,636967292346526e-10	2,636967292346526e-10	79,44047041471794
2,612434946058784e-10	2,612434946058784e-10	78,74515235457065
2,615317680465523e-10	2,615317680465523e-10	78,05892336149198
2,64485424850136e-10	2,64485424850136e-10	77,3816257088847
2,699666219996289e-10	2,699666219996289e-10	76,71310507674144
2,777085865091067e-10	2,777085865091067e-10	76,05321046373366
2,872492405003868e-10	2,872492405003868e-10	75,40179410193595
2,978913653350901e-10	2,978913653350901e-10	74,75871137409599
3,087192089878954e-10	3,087192089878954e-10	74,12382073336352
3,186770481988788e-10	3,186770481988788e-10	73,496983625395
-7,107961457222701e-08	-7,107961457222701e-08	72,87806441275437
3,319109600852244e-10	3,319109600852244e-10	72,26693030153238
3,337141606607475e-10	3,337141606607475e-10	71,66345127011083
-7,382045965641737e-08	-7,382045965641737e-08	71,06750000000001
3,269366061431356e-10	3,269366061431356e-10	70,47895180868099
3,192951044184156e-10	3,192951044184156e-10	69,89768458438633
3,099099558312446e-10	3,099099558312446e-10	69,32357872275568
-5,644115153700113e-08	-5,644115153700113e-08	68,75651706530503
2,894385761464946e-10	2,894385761464946e-10	68,19638483965015
2,796729313558899e-10	2,796729313558899e-10	67,64306960142773
-5,858894903212786e-08	-5,858894903212786e-08	67,09646117785901
2,623678483359982e-10	2,623678483359982e-10	66,55645161290323
2,546603900555056e-10	2,546603900555056e-10	66,02293511394979
2,473063068464399e-10	2,473063068464399e-10	65,49580800000001
2,401236997684464e-10	2,401236997684464e-10	64,97496865129126
2,330275674466975e-10	2,330275674466975e-10	64,46031746031747
-8,66406410932541e-08	-8,66406410932541e-08	63,95175678420223
-8,768149651587011e-08	-8,768149651587011e-08	63,4491908983818
2,1292680685292e-10	2,1292680685292e-10	62,9525259515571
2,071041672024876e-10	2,071041672024876e-10	62,46166992187501
2,019335806835443e-10	2,019335806835443e-10	61,9765325743009
-6,688137538731099e-08	-6,688137538731099e-08	61,49702541914549
